id,timestamp,x,y,z
-O3cCSF3KdykxCtoIFSP,2024-08-07 01:01:41,0.061,0.9155,0.8545
-O3cCSHGHhs1itw25iCR,2024-08-07 01:01:42,0.1831,1.0986,0.7324
-O3cCSJC_KARJo9i96LK,2024-08-07 01:01:42,0.3052,1.0376,0.6104
-O3cCSLEfBylokxou9na,2024-08-07 01:01:42,0.3662,0.9155,0.5493
-O3cCSNFEvhbxH8lEIkZ,2024-08-07 01:01:42,0.4883,0.8545,0.5493
-O3cCSPMYTBxS5FSSQcR,2024-08-07 01:01:42,0.5493,0.8545,0.6104
-O3cCSREi88w_Iv9dwDt,2024-08-07 01:01:42,0.5493,0.9155,0.6104
-O3cCSTIfMP1Egov8Huv,2024-08-07 01:01:42,0.6104,0.8545,0.4883
-O3cCSVUlksxncvxbvI0,2024-08-07 01:01:42,0.6104,0.7935,0.4272
-O3cCSXSUhhOif3yLvGV,2024-08-07 01:01:43,0.5493,0.7935,0.4272
-O3cCSZdcvtthQRb8Vfr,2024-08-07 01:01:43,0.4883,0.7324,0.4883
-O3cCSahLh5zuE2L4GbY,2024-08-07 01:01:43,0.4272,0.7324,0.4883
-O3cCScgAgX5DIR8MlLb,2024-08-07 01:01:43,0.4272,0.6714,0.4272
-O3cCSed1SBYYtWBVkFJ,2024-08-07 01:01:43,0.3662,0.6714,0.3052
-O3cCSgj9UC2T5aHB2Tz,2024-08-07 01:01:43,0.3052,0.6104,0.2441
-O3cCSie-RibxXsQRjqS,2024-08-07 01:01:43,0.3052,0.6104,0.2441
-O3cCSkjjQz5p-s5HRgv,2024-08-07 01:01:43,0.1831,0.5493,0.3052
-O3cCSnFtOMBfJyBMTT0,2024-08-07 01:01:44,0.1221,0.5493,0.3052
-O3cCSpDgJn3G8Cm2PUF,2024-08-07 01:01:44,0.1221,0.5493,0.3052
-O3cCSrFkfPGTPb_CR82,2024-08-07 01:01:44,0.1221,0.4272,0.3662
-O3cCStOAq8QdS82AvwB,2024-08-07 01:01:44,0.1221,0.4883,0.3662
-O3cCSvRoWrXO0g1Sw0d,2024-08-07 01:01:44,0.1221,0.4272,0.2441
-O3cCSxailkTb556YFMM,2024-08-07 01:01:44,0.2441,0.3662,0.1831
-O3cCSzqLuYpvYtdkszR,2024-08-07 01:01:44,0.2441,0.3662,0.1831
-O3cCT0zIv_AVMvAY-Pr,2024-08-07 01:01:45,0.3052,0.3662,0.3052
-O3cCT3D1XJypSftQAe7,2024-08-07 01:01:45,0.4272,0.3662,0.3662
